taskSize,taskType,priority,resourceLoad,actualTime
1,2,3,20.06,0.93
2,2,5,24.46,3.015
3,2,2,22.84,24.86
1,2,3,44.98,1.191
3,1,2,15.76,19.865
1,1,2,43.03,0.682
1,2,2,11.79,1.174
2,1,2,11.13,2.287
1,2,2,14.95,1.475
1,2,4,36.51,1.585
1,3,2,19.34,0.712
3,1,1,11.96,11.869
1,2,2,17.02,0.705
3,1,5,18.89,9.199
2,3,1,31.29,4.525
1,2,5,28.54,1.042
2,2,5,40.53,4.524
1,2,2,38.51,1.08
1,1,1,18.8,0.852
2,2,1,2.06,3.811
2,3,1,21.65,4.471
1,1,1,34.81,0.808
1,3,3,23.59,0.799
2,3,4,15.22,2.496
2,3,1,27.19,4.528
2,3,2,39.12,4.122
1,1,2,40.14,0.875
1,2,1,40.42,1.92
1,1,2,27.12,0.511
2,2,4,18.79,4.784
2,1,2,37.68,2.548
1,3,1,28.58,0.893
1,1,2,49.23,1.158
1,1,1,47.71,0.824
2,1,4,23.04,2.019
2,2,4,38.52,5.169
1,1,1,7.92,0.334
1,1,2,12.28,0.496
1,1,3,39.3,0.574
1,1,2,44.71,0.751
2,3,2,12.35,3.986
1,1,5,12.54,0.352
1,1,1,5.61,0.846
3,1,2,60.99,47.833
1,1,1,34.7,0.765
1,1,1,12.46,0.567
1,1,4,33.54,0.724
1,1,3,16.14,0.484
1,1,2,6.86,0.502
1,1,1,21.94,0.853
1,2,4,78.74,2.041
1,1,1,38.33,1.064
1,2,2,36.08,1.04
2,2,1,11.66,5.56
1,3,2,20.01,0.973
1,1,2,54.17,0.451
1,2,1,31.52,1.199
2,3,2,13.1,4.818
2,3,2,51.4,5.399
1,3,2,38.57,1.312
1,1,2,9.19,0.491
1,3,4,14.97,0.601
1,3,1,49.36,1.163
1,1,1,22.95,0.459
1,1,1,50.17,0.895
1,3,1,55.76,1.225
1,1,2,27.63,0.542
1,2,1,24.64,1.014
1,1,1,4.44,0.875
2,2,1,19.44,5.186
1,1,2,12.1,0.629
3,2,3,22.23,22.378
1,2,2,36.8,1.644
2,3,5,17.22,3.595
3,1,1,10.01,22.302
3,1,2,28.89,13.553
2,1,1,25.32,4.132
2,1,3,21.72,3.599
2,3,1,49.29,5.816
2,1,5,16.52,2.308
1,1,3,34.23,0.608
1,3,2,28.73,0.598
1,1,2,32.71,1.191
2,1,1,58.68,3.198
1,2,1,36.02,0.969
1,1,4,21.14,0.401
2,3,3,23.97,4.474
1,2,1,25.99,1.508
1,1,1,13.33,1.031
1,2,1,39.86,2.059
1,3,3,35.84,0.841
1,1,2,21.25,0.831
1,2,2,16.78,1.001
1,1,1,28.51,0.759
1,2,4,17.67,0.706
1,2,1,34.88,1.936
2,1,1,12.12,3.039
1,1,4,39.77,0.371
3,1,3,18.04,9.013
3,2,2,51.28,26.928
1,2,4,19.85,0.907
1,1,1,28.29,0.7
1,1,1,10.16,0.659
2,3,1,21.64,4.965
2,1,1,27.88,4.182
2,1,3,32.86,2.7
1,1,2,51.1,0.866
2,2,2,7.58,4.695
1,1,3,47.93,0.828
2,3,1,31.89,4.801
1,2,1,7.98,0.967
2,1,1,54.4,5.531
2,2,3,30.6,6.251
1,1,2,23.14,0.974
2,1,5,51.13,1.853
1,2,4,4.51,0.583
2,1,3,42.31,2.173
1,3,3,8.05,0.568
3,2,2,27.63,26.393
1,1,4,30.59,0.432
3,3,2,19.19,13.138
2,2,1,10.54,8.171
1,1,1,17.75,0.428
2,2,3,33.52,8.883
2,3,1,43.45,6.902
3,1,3,11.45,16.847
1,1,5,11.59,0.283
1,1,1,26.11,0.653
1,1,1,13.06,0.631
2,1,1,11.94,2.972
1,2,2,6.85,1.095
1,3,2,39.28,1.04
1,2,1,50.5,1.351
1,1,2,20.75,0.981
1,1,2,46.8,0.585
2,1,1,17.26,3.798
2,1,1,38.53,4.467
1,2,1,28.84,1.431
1,1,3,20.97,0.283
3,3,1,13.29,19.792
1,1,1,22.43,0.665
1,2,2,9.73,1.136
1,3,2,7.37,0.561
2,2,3,21.87,5.214
1,3,2,35.45,1.16
2,3,2,29.54,5.126
2,2,3,20.51,4.807
1,1,4,35.71,0.737
2,1,2,50.11,5.903
2,3,2,29.01,3.513
1,1,1,19.65,0.718
1,3,2,34.49,1.202
1,1,4,12.96,0.634
1,2,1,52.22,1.52
1,1,1,11.81,0.541
3,3,2,10.09,14.383
1,1,4,25.61,0.333
1,1,1,25.47,0.719
2,3,4,25.6,2.563
1,1,1,29.36,0.871
3,1,4,35.68,10.571
2,3,4,17.51,2.187
1,3,3,19.45,0.869
1,1,4,13.78,0.43
3,2,5,13.23,18.816
2,1,4,30.76,2.146
3,1,2,47.54,35.343
1,2,2,52.79,1.881
2,1,1,49.62,3.461
2,1,1,8.98,2.278
1,1,2,22.59,0.668
1,3,1,13.25,0.954
2,2,4,12.32,4.589
1,1,1,20.51,0.439
1,3,1,14.83,0.572
2,3,1,38.56,3.165
1,1,1,24.21,0.555
1,3,1,23.54,1.07
1,1,2,73.76,1.393
1,1,1,30.04,0.468
3,1,3,43.65,10.354
2,1,2,30.67,3.654
1,2,3,27.36,1.37
3,2,3,32.98,29.686
2,3,1,11.83,6.133
1,1,1,18.93,0.752
2,1,3,44.76,5.668
1,1,3,63.26,2.333
3,1,1,4.95,14.986
2,3,2,25.7,4.975
2,2,1,18.79,3.597
1,2,1,5.99,1.374
2,2,1,17.46,4.691
1,1,3,3.02,0.569
1,1,1,47.98,0.834
1,1,2,12.89,0.651
2,3,1,12.19,3.27
1,1,1,25.57,0.651
3,1,1,12.9,18.947
2,2,2,20.39,5.988
1,1,3,23.84,0.328
1,2,3,7.35,0.877
1,1,1,33.21,0.648
2,2,1,14.46,4.738
2,1,1,33.48,3.174
1,3,4,18.31,0.697
2,2,2,7.08,7.307
1,1,3,4.54,0.57
2,2,1,27.02,5.502
3,2,2,54.15,41.607
2,2,2,12.96,5.324
2,3,2,9.27,4.622
2,3,2,39.09,4.848
1,1,1,50.79,1.233
1,1,2,30.2,0.674
1,1,5,10.39,0.399
1,2,1,9.56,1.443
2,3,3,56.56,3.865
2,2,4,54.93,6.059
2,1,2,37.69,3.372
1,3,2,2.26,0.876
2,2,1,43.61,8.008
1,1,3,38.71,0.514
1,3,4,10.76,0.507
2,1,5,22.39,1.944
3,2,1,35.49,40.935
2,1,4,34.67,2.109
1,3,1,27.56,0.814
2,1,2,41.59,3.198
1,1,1,3.5,0.579
2,2,1,62.68,9.732
2,3,2,30.33,4.786
1,1,2,16.16,0.742
1,1,5,31.92,0.349
1,3,1,47.88,0.717
3,2,4,23.09,21.29
1,1,2,30.05,0.427
2,1,1,9.76,4.422
2,1,1,47.13,4.607
1,2,3,42.6,1.295
1,2,3,51.55,1.983
3,2,1,47.08,37.536
1,1,2,21.16,0.671
1,3,2,52.43,1.356
2,1,2,36.98,5.891
2,3,2,63.28,15.222
3,1,3,29.48,13.489
1,1,1,22.21,1.019
1,1,1,50.45,0.505
1,1,1,42.83,0.817
1,1,4,6.77,0.489
1,2,2,38.08,0.863
1,3,1,24.07,1.605
1,2,3,37.12,1.737
1,2,2,40.19,1.213
1,1,1,10.81,1.072
2,3,1,56.96,9.596
2,1,3,30.5,3.082
1,1,3,30.22,0.65
1,1,1,13.44,0.555
1,1,1,25.43,0.746
1,2,1,54.12,1.467
1,1,2,26.79,0.639
1,1,1,63.07,1.314
1,3,1,24.29,0.972
1,1,1,8.85,0.653
1,2,5,34.3,1.489
1,1,2,30.45,0.425
1,3,1,10.75,0.568
2,2,2,5.92,4.297
2,1,3,9.01,2.508
2,3,4,28.11,2.793
1,1,5,23.88,0.263
2,1,2,30.49,5.62
1,2,2,10.05,1.18
1,2,1,34.78,1.291
2,1,3,5.64,2.056
1,1,2,17.52,0.559
1,1,1,33.12,0.67
2,2,2,40.79,7.664
2,3,1,6.4,3.2
3,1,2,24.15,12.22
1,3,1,16.79,1.075
1,1,1,15.01,0.578
2,2,1,13.22,6.905
1,3,1,34.57,1.002
2,2,1,22.72,5.867
1,1,3,27.16,0.461
1,1,2,33.27,0.698
1,1,2,39.5,0.699
2,2,1,23.01,3.388
1,3,4,29.5,0.856
1,1,4,33.2,0.555
1,1,2,33.03,0.456
1,1,2,35.6,0.668
1,2,3,22.31,0.882
2,2,3,27.03,3.88
1,1,1,1.88,0.742
2,2,2,13.24,7.327
2,1,1,12.09,2.971
1,2,3,34.11,0.96
1,1,2,29.41,0.506
2,1,5,49.7,1.295
1,2,1,32.81,1.561
1,2,2,29.78,1.997
3,1,3,24.6,12.552
3,2,4,22.94,18.848
2,2,4,12.73,3.83
1,1,1,7.91,0.584
2,3,5,26.59,1.859
2,3,5,49.29,7.864
1,1,5,36.49,0.498
2,3,2,33.45,5.277
1,2,3,57.2,3.402
1,1,1,29.41,0.783
1,2,1,20.68,1.001
1,1,1,42.72,0.632
1,2,2,19.48,1.753
2,3,5,12.46,2.78
3,1,2,24.68,14.663
1,2,2,14.09,0.93
2,1,3,39.24,2.958
3,2,2,7.19,27.189
1,3,2,38.5,1.641
1,1,2,39.47,0.729
1,2,2,33.34,0.968
1,1,2,45.29,0.544
2,2,3,33.74,6.451
1,2,2,9.84,1.332
1,2,2,49.71,2.861
1,1,2,22.33,1.225
1,2,4,52.33,0.741
3,2,2,31.44,29.224
1,2,3,58.29,1.398
1,2,2,32.86,1.163
1,3,1,21.5,0.728
1,1,2,11.64,0.63
1,1,1,9.43,0.494
1,3,1,55.16,1.671
1,1,1,36.19,1.128
1,3,3,20.56,0.604
2,2,2,16.67,7.042
2,3,2,62.47,7.552
2,2,2,34.84,8.25
2,3,1,41.8,6.225
2,2,4,9.59,3.135
1,2,4,11.54,0.771
1,1,3,5.32,0.456
1,1,1,46.0,1.213
1,1,4,47.44,0.577
2,3,3,35.99,5.443
1,1,1,19.37,0.776
2,2,1,45.5,8.842
2,2,1,12.75,6.304
1,1,3,20.05,0.674
3,3,2,42.96,30.016
1,1,1,44.19,1.215
2,2,1,18.89,4.743
1,1,2,8.89,0.513
1,1,2,31.47,0.672
1,1,2,26.48,0.594
1,2,1,20.13,0.976
1,1,2,10.49,0.772
3,3,5,20.87,8.679
2,2,1,22.32,8.045
1,1,2,27.56,1.039
1,1,1,51.71,0.868
1,1,1,33.42,0.414
1,2,4,4.68,0.692
3,2,5,37.07,15.105
1,1,1,29.9,0.506
1,2,1,6.9,1.286
1,1,1,27.56,0.819
1,2,2,12.78,1.173
1,1,1,32.8,0.593
2,1,2,39.61,5.149
2,1,1,11.15,2.833
3,2,2,52.66,28.106
2,2,4,25.33,3.15
1,1,1,23.52,0.579
2,1,3,10.12,2.588
3,2,3,16.5,17.313
2,1,1,16.96,2.763
3,2,4,0.58,25.277
2,1,2,36.15,2.947
2,1,2,7.42,3.501
1,2,2,13.29,1.076
2,1,1,48.36,6.568
1,2,1,41.47,1.662
1,1,2,2.71,0.577
2,1,3,39.86,2.948
3,2,4,9.67,15.501
3,1,2,35.38,18.171
1,2,1,14.58,1.053
2,2,1,17.27,3.779
2,3,4,18.94,3.15
1,1,1,25.93,0.697
1,1,4,18.07,0.486
1,1,1,36.72,0.809
2,3,1,22.62,5.544
1,1,1,46.95,1.09
3,1,2,42.13,17.858
1,2,1,3.9,1.273
3,1,4,42.18,20.567
1,2,2,1.83,0.87
2,1,1,32.63,2.194
1,2,2,55.38,2.406
1,2,1,90.68,5.094
2,1,2,20.15,6.087
3,2,3,18.13,23.123
2,2,5,53.31,4.69
1,1,2,5.43,0.635
1,3,1,27.3,1.191
1,2,2,41.28,1.656
1,3,2,39.52,0.904
2,2,2,37.29,9.461
2,1,1,30.38,2.862
2,1,1,29.78,3.099
2,1,5,27.56,3.0
2,1,4,34.02,3.119
2,1,1,36.0,3.55
1,1,5,15.15,0.371
1,1,3,11.17,0.812
2,3,1,39.92,5.16
2,1,4,29.02,1.999
1,2,5,36.47,0.799
1,2,2,31.12,1.544
2,2,3,24.49,5.419
1,1,1,16.17,0.866
1,2,2,16.51,0.875
2,2,3,56.95,5.218
2,3,2,40.36,6.839
1,1,1,56.91,0.763
2,1,2,15.44,2.248
1,2,3,16.86,0.781
2,1,3,23.25,2.128
1,2,1,18.2,1.044
1,2,2,25.35,0.722
1,2,1,55.91,3.205
1,3,2,20.36,0.538
2,2,1,23.14,11.355
1,3,4,36.55,0.875
1,2,2,34.4,2.743
1,1,2,59.14,0.812
2,2,3,38.16,5.083
2,2,1,17.21,8.506
3,3,1,24.07,17.096
1,1,1,16.85,0.826
1,1,2,29.21,0.643
1,3,4,27.68,0.808
1,1,1,15.2,0.934
3,2,3,19.16,20.032
2,2,1,9.82,4.992
1,1,1,27.9,0.519
1,1,2,53.17,0.576
3,3,3,24.38,14.846
1,1,4,43.7,0.592
1,2,2,48.82,1.308
1,2,2,24.39,1.219
1,2,1,28.16,1.622
1,1,1,25.25,0.622
1,1,4,8.64,0.391
1,3,2,17.94,1.054
2,1,1,34.25,4.404
1,1,1,15.2,0.645
1,3,1,30.2,0.817
3,1,3,27.85,17.252
2,1,2,33.59,3.216
1,3,4,41.92,0.416
1,1,2,24.78,0.371
2,1,3,33.83,2.407
1,1,1,12.02,0.526
1,2,1,10.48,1.202
3,3,1,20.17,13.484
1,2,1,34.4,1.44
2,3,5,29.2,1.991
1,1,3,18.42,0.675
2,2,1,37.25,5.893
1,1,2,30.8,0.853
1,3,2,40.23,0.958
1,3,2,11.77,0.679
1,1,1,11.32,0.492
2,3,1,11.49,3.561
1,2,1,11.17,1.619
1,1,4,20.6,0.439
2,2,2,9.78,4.301
2,3,3,44.47,4.992
1,1,4,21.67,0.4
1,1,1,52.29,0.818
3,3,1,15.76,18.844
2,1,1,57.84,7.961
2,1,2,39.93,3.698
3,2,2,9.69,29.269
2,2,1,38.01,6.508
1,1,1,56.48,0.903
1,1,2,72.55,2.351
1,3,3,10.5,0.515
2,1,1,9.64,3.049
3,2,3,30.52,33.903
1,3,1,36.99,0.921
1,1,1,41.94,1.533
1,3,1,5.8,0.699
3,2,3,9.2,25.062
1,3,2,11.74,1.121
1,1,2,4.78,0.599
1,1,1,5.21,0.71
1,2,2,18.31,1.322
1,3,1,28.82,0.478
1,3,1,17.54,1.243
1,1,2,17.08,0.647
1,2,2,5.31,1.05
1,1,1,47.92,1.009
1,2,1,49.73,0.918
1,3,1,12.52,1.059
2,2,2,44.91,8.178
1,1,2,56.72,0.716
1,3,2,40.6,1.113
1,1,1,24.26,0.815
1,1,1,69.48,1.167
1,2,1,38.45,2.177
1,2,1,48.05,1.664
2,2,3,26.23,4.621
1,2,1,36.62,1.769
1,1,1,23.86,0.562
1,1,1,20.27,0.61
1,2,1,2.49,0.924
1,2,4,13.76,0.75
2,2,5,11.39,2.959
2,1,2,15.34,3.047
1,1,1,39.5,1.141
1,2,2,41.06,1.683
1,1,2,15.0,0.608
1,2,2,49.6,2.387
2,1,1,49.24,4.014
1,1,1,14.74,0.749
1,1,1,39.57,1.107
3,1,1,37.96,34.523
1,2,2,16.57,1.108
1,1,4,33.45,0.455
2,1,1,46.41,4.704
1,3,3,20.62,0.699
1,1,1,46.39,0.757
1,2,1,52.09,1.869
3,1,2,61.6,48.951
1,1,1,20.86,0.451
1,1,4,7.32,0.252
1,3,4,12.8,0.395
1,1,1,48.67,0.72
2,2,1,29.11,4.805
1,3,1,53.03,1.043
1,1,4,46.48,0.442
1,2,1,65.73,2.828
2,1,3,30.03,2.214
1,1,1,54.61,0.732
2,3,2,11.55,2.421
2,1,1,10.59,4.116
1,3,3,42.24,1.319
2,2,2,52.15,8.945
2,1,1,54.84,5.659
1,1,1,24.77,0.843
3,2,2,46.79,46.594
1,1,2,22.29,0.458
2,1,3,35.05,2.836
3,1,1,29.54,23.301
1,1,4,14.39,0.383
2,3,1,20.75,4.655
1,1,4,12.58,0.572
2,1,4,12.59,3.76
2,2,2,8.22,6.469
1,2,5,37.46,0.546
1,3,2,53.77,0.969
1,3,2,50.62,1.718
1,1,1,10.94,0.555
1,1,1,40.23,1.105
1,2,2,42.67,2.381
1,1,4,33.06,0.683
1,2,5,36.76,1.325
2,1,2,29.07,2.396
2,3,4,24.05,1.81
2,2,3,30.36,4.174
1,2,3,12.31,0.915
2,1,1,12.11,2.674
1,3,2,47.82,0.859
1,2,2,25.12,1.091
1,3,3,44.23,0.783
2,3,2,16.1,4.709
1,1,3,55.27,0.845
1,1,5,51.92,0.456
3,1,2,36.6,22.653
1,2,3,23.64,2.041
1,2,2,55.97,2.061
3,1,2,43.95,16.176
1,3,2,8.76,0.521
1,1,5,22.71,0.35
2,2,3,19.21,3.506
2,1,3,20.19,2.989
1,1,1,22.61,1.071
2,1,2,20.31,2.443
1,2,4,25.37,0.719
1,2,4,12.16,0.915
1,1,5,27.28,0.321
1,2,3,19.0,0.61
2,2,3,53.16,10.799
2,1,1,37.06,2.693
1,2,3,33.57,1.046
1,1,1,55.25,1.038
1,3,4,21.98,0.527
2,2,1,40.48,9.171
1,1,4,14.37,0.302
2,2,2,5.57,5.574
1,1,1,14.72,0.542
1,3,2,36.8,0.94
2,2,2,14.12,4.334
2,1,3,13.21,2.604
1,2,3,53.15,1.906
2,1,2,8.66,2.777
3,3,1,22.07,19.856
1,3,4,37.95,0.549
1,2,5,22.83,0.691
1,2,3,25.1,1.271
2,2,1,36.95,7.095
1,1,3,9.05,0.684
1,1,1,11.0,0.617
1,3,5,11.35,0.711
2,1,1,36.22,2.261
1,1,1,17.99,0.589
2,1,1,23.83,2.828
1,3,3,47.94,0.925
3,3,2,53.37,35.3
1,1,3,24.19,1.059
1,1,1,27.08,0.743
2,3,4,25.83,3.809
3,1,2,32.21,12.909
1,3,1,21.36,0.83
1,3,3,40.66,1.05
2,2,2,10.86,3.709
2,1,2,8.75,2.246
1,2,1,14.35,1.22
1,3,3,16.99,0.647
2,1,1,32.89,4.099
2,3,2,41.42,2.986
2,1,2,34.22,3.144
1,3,3,13.45,0.624
1,2,1,42.59,1.682
3,1,1,27.25,21.856
2,1,1,55.28,5.55
2,1,2,18.09,2.288
1,1,1,14.87,0.72
1,3,2,37.46,0.562
2,1,1,7.97,3.338
1,3,2,30.58,0.987
3,1,2,22.94,14.602
1,2,1,31.65,1.642
2,3,3,22.78,2.486
2,2,2,16.21,9.211
1,3,3,18.75,0.541
1,3,2,36.58,0.435
2,2,1,15.11,4.429
1,2,1,47.64,4.385
1,1,2,37.54,0.997
2,1,4,18.13,1.622
3,1,1,14.98,21.154
1,3,1,19.72,1.222
1,2,2,9.36,0.754
1,2,2,21.71,1.505
1,3,4,52.21,0.767
1,1,1,54.11,1.352
1,3,4,2.65,0.674
2,1,3,4.94,3.056
1,1,3,34.25,0.569
3,2,1,42.88,29.686
1,1,1,21.35,0.789
1,2,1,26.52,1.614
2,2,3,7.48,5.006
2,3,1,55.47,6.979
1,1,1,36.78,0.986
1,1,1,70.26,0.79
1,1,4,34.94,0.638
1,1,1,15.11,0.636
1,1,2,17.61,0.784
1,1,3,10.43,0.524
1,3,4,49.99,1.028
1,3,3,24.07,0.821
3,3,2,12.92,16.748
2,1,1,34.44,3.169
1,2,1,15.74,1.507
1,1,1,29.03,0.807
1,1,2,22.61,0.662
1,1,1,12.35,0.817
2,3,2,10.47,4.345
2,2,2,10.33,7.108
3,1,3,8.98,11.181
3,2,1,11.91,32.216
3,3,5,57.68,30.404
3,1,3,39.57,12.923
1,3,1,30.5,0.747
1,1,1,45.51,0.895
1,1,5,14.16,0.361
1,3,4,16.09,0.602
1,1,1,11.59,0.79
2,2,1,50.84,10.811
2,1,5,25.23,3.814
1,2,2,37.88,1.908
1,2,2,13.35,0.916
1,3,1,15.89,1.079
1,3,3,28.67,0.729
2,2,2,49.32,9.642
1,1,2,17.83,0.647
2,1,3,62.95,2.587
1,2,1,34.95,1.161
1,1,2,23.59,0.647
1,1,2,25.48,0.771
2,3,2,12.98,2.946
2,1,5,25.77,2.782
1,1,2,13.06,0.722
3,3,1,51.97,23.245
1,2,1,5.98,1.172
2,2,2,54.42,11.609
1,1,1,49.45,1.448
1,1,2,22.38,0.436
2,2,1,42.79,6.513
1,1,1,12.58,0.84
1,2,1,8.6,0.916
1,1,2,41.46,0.92
1,1,1,18.14,0.676
2,1,2,8.69,2.765
2,1,1,33.25,1.993
2,1,4,57.64,5.389
1,2,2,27.89,0.953
1,2,3,17.1,0.807
1,1,4,26.48,0.536
1,2,4,25.99,0.845
1,1,4,13.3,0.433
3,1,1,6.81,15.162
2,3,1,32.82,4.28
2,2,3,1.41,3.965
1,2,2,23.3,1.301
1,1,2,41.98,0.579
1,1,2,23.67,0.525
1,2,1,29.35,1.352
1,2,1,36.95,1.753
1,2,2,6.57,0.882
1,3,2,47.8,0.848
3,1,3,18.89,11.684
1,3,2,25.29,0.647
3,2,1,34.23,32.662
1,1,1,39.25,0.429
1,1,1,51.39,1.668
1,2,1,16.4,1.187
1,1,3,12.79,0.336
1,2,2,26.73,0.984
1,2,4,57.68,1.369
3,1,2,32.96,15.788
1,2,1,6.01,0.88
2,2,2,4.9,6.725
1,1,1,53.8,1.412
1,3,1,38.76,0.731
1,1,2,49.81,0.971
1,3,2,46.23,0.799
3,1,1,25.65,11.924
2,1,3,17.65,2.068
2,2,2,20.66,6.557
1,1,1,45.53,0.667
1,1,3,11.22,0.535
3,1,1,38.76,12.954
1,2,2,50.95,1.995
1,2,2,27.3,1.06
1,1,2,20.52,0.67
2,1,3,16.26,1.901
2,1,1,43.84,8.628
2,3,1,30.74,8.261
2,1,2,7.82,1.64
1,2,1,24.25,1.76
3,1,1,28.9,18.334
1,2,2,11.09,1.163
